"","species","antibiotics","lincomycin","novobiocin","kanamycin","ampicillin","gentamicin","neomycin","streptomycin","chloramphenicol","rifampicin","polymyxin.b","erythromycin","bacitracin","penicillin","tetracycline","aztreonam","cefalotin","cefazolin","cefotaxime","fosfomycin","imipenem","linezolid","mezlocillin","moxifloxacin","nitrofurantoin","norfloxacin","nystatin","ofloxacin","oxacillin","penicillin.g","pipemidic.acid","ticarcillin","tunicamycin","actinomycin.d","sodium.dodecyl.sulfate","vancomycin","sodium.chloride","colistin","carbenicillin","ceftriaxone","clarithromycin","cefotaxime.sodium","tobramycin","spectinomycin","amikacin","nalidixic.acid","cycloheximide","trimethoprim","sulfamethoxazole","minocycline","cephradine","cephalexin","cefuroxime","cefoperazone","ceftazidime","oleandomycin","cephalothin","acetylspiramycin","ciprofloxacin","oxytetracycline","furazolidone","midecamycin","doxycycline","piperacillin","clindamycin","enrofloxacin","cefixime","meropenem","levofloxacin","amoxicillin","clavulanic.acid","cefoxitin","cefepime","co.trimoxazole","spiramycin.II","family","order","class","phylum","domain","NCBI.tax.ID","motility","gram.stain","growth","genus","oxygen.tolerance","PH.range","GC.content","Total.samples","soil.counts","aquatic.counts","plant.counts","optimum","n16","div","gc_percent","genome_components","chromosomes","total_seq_length","genes_nc","genes_coding","pseudogenes","total_genes"
"188","Ahniella affigens","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Rhodanobacteraceae","Lysobacterales","Gammaproteobacteria","Pseudomonadota","Bacteria","2021234.0","no","negative",NA,"Ahniella","aerobe",NA,1026,1,1,1,1,97,2,0,60,2,2,6120935,59,4544,66,4669
"189","Akkermansia glycaniphila","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Akkermansiaceae","Verrucomicrobiales","Verrucomicrobiae","Verrucomicrobiota","Bacteria","1679444.0","no","negative","37.0","Akkermansia","anaerobe",NA,1048,3264,858,136,421,1,3,0,57.5,1,1,3074078,62,2494,15,2571
"190","Akkermansia muciniphila","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Akkermansiaceae","Verrucomicrobiales","Verrucomicrobiae","Verrucomicrobiota","Bacteria","239935.0",NA,NA,"37.0","Akkermansia","anaerobe",NA,265.333333333333,475,383,1222,809,1,3,0.0402008948396724,55.5421052631579,1.01052631578947,1.01052631578947,2866585.83157895,64.5578947368421,2342.35789473684,19.4,2426.31578947368
"191","Alcaligenes aquatilis","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria",NA,"yes","negative","25.5","Alcaligenes","aerobe",NA,972,2477,1150,150,463,1,3,1.48519972602123,55.8333333333333,1,1,4183136.33333333,71,3723.66666666667,30.3333333333333,3825
"192","Alcaligenes faecalis","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","32001.0",NA,NA,"27.5","Alcaligenes","aerobe",NA,21.8863636363636,1,1,1,1,1,3,0.994553387960646,56.28125,1.25,1.25,4158233.125,69.9375,3726.4375,25.875,3822.25
"193","Alcanivorax borkumensis","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Alcanivoracaceae","Oceanospirillales","Gammaproteobacteria","Pseudomonadota","Bacteria","393595.0",NA,NA,"29.0","Alcanivorax",NA,NA,1,1505,682,755,288,1,3,0,54.5,1,1,3120143,55,2758,16,2829
"194","Algibacter alginicilyticus","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Flavobacteriaceae","Flavobacteriales","Flavobacteriia","Bacteroidota","Bacteria","1736674.0",NA,NA,"28.0","Algibacter",NA,NA,100,1671,3,845,1,1,2,0,31.5,1,1,3994770,50,3301,15,3366
"195","Algoriphagus sanaruensis","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Cyclobacteriaceae","Cytophagales","Cytophagia","Bacteroidota","Bacteria","1727163.0",NA,"negative","30.0","Algoriphagus","aerobe","alkaliphile",460,1594,69,674,646,1,3,0,41,1,1,3882610,51,3297,4,3352
"196","Alicycliphilus denitrificans","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Comamonadaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","596153.0",NA,NA,"29.0","Alicycliphilus","aerobe",NA,1,473.5,701.5,154.5,356.5,1,3,0,67.75,2,2,4907930.75,65.75,4552.5,79,4697.25
"197","Alicyclobacillus acidoterrestris","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Alicyclobacillaceae","Caryophanales","Bacilli","Bacillota","Bacteria","1356854.0",NA,NA,"47.5","Alicyclobacillus",NA,NA,487.428571428571,748.714285714286,239,380.714285714286,258.142857142857,1,13,1.89397640390325,52,2,2,4346939,175,4035,101,4311
"198","Alicyclobacillus dauci","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Alicyclobacillaceae","Caryophanales","Bacilli","Bacillota","Bacteria",NA,NA,NA,NA,"Alicyclobacillus",NA,NA,771,1,1,1,1,1,11,18.3677377894622,50,3,3,4881158,146,4598,148,4892
"199","Alicyclobacillus fastidiosus","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Alicyclobacillaceae","Caryophanales","Bacilli","Bacillota","Bacteria",NA,"no","positive","45.0","Alicyclobacillus","aerobe","acidophile",900,1,1,1,1,1,15,12.8010696220426,51,4,4,6035649,184,5447,216,5847
"200","Alicyclobacillus mengziensis","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Alicyclobacillaceae","Caryophanales","Bacilli","Bacillota","Bacteria","2931921.0",NA,NA,NA,"Alicyclobacillus",NA,NA,1,3073,954,837,549,1,8,0,50.5,2,2,5293537,102,4758,62,4922
"201","Aliiroseovarius crassostreae","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Rhodobacteraceae","Rhodobacterales","Alphaproteobacteria","Pseudomonadota","Bacteria","154981.0","yes","negative","31.0","Aliiroseovarius","aerobe",NA,1074,2339,1126,1156,487,1,3,0,58.5625,2,2,3347113.5,61.125,3128.25,18.75,3208.125
"202","Aliivibrio fischeri","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Vibrionaceae","Vibrionales","Gammaproteobacteria","Pseudomonadota","Bacteria","1298605.0",NA,NA,"22.0","Aliivibrio","aerobe",NA,100.125,338.5,35.5,68.25,85.25,1,11,3.86498652932089,38,2.5,2.5,4388462,159,3816,43.5,4018.5
"203","Aliivibrio salmonicida","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Vibrionaceae","Vibrionales","Gammaproteobacteria","Pseudomonadota","Bacteria",NA,NA,NA,"15.0","Aliivibrio",NA,NA,1,1,1,1,1,1,12.5,6.58769874126953,38.5,5,5,4708219.5,145.5,4082.5,341.5,4569.5
"204","Alistipes communis","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Rikenellaceae","Bacteroidales","Bacteroidia","Bacteroidota","Bacteria","2585118.0",NA,NA,"37.0","Alistipes",NA,NA,1057,3177,1154,425,10,1,2,0,58,1,1,3301738,57,2675,32.5,2764.5
"205","Alistipes dispar","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Rikenellaceae","Bacteroidales","Bacteroidia","Bacteroidota","Bacteria","2585119.0",NA,NA,"37.0","Alistipes",NA,NA,1161,1,1,1,1,1,2,0,61,1,1,2962376,55,2402,22,2479
"206","Alistipes finegoldii","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Rikenellaceae","Bacteroidales","Bacteroidia","Bacteroidota","Bacteria","679935.0",NA,"negative","37.0","Alistipes","anaerobe",NA,250.75,1,1,1,1,1,2,3.46573590279973,56.5,1,1,3925747,56,3295.5,48.5,3400
"207","Alistipes ihumii","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Rikenellaceae","Bacteroidales","Bacteroidia","Bacteroidota","Bacteria","1211813.0",NA,NA,"37.0","Alistipes",NA,NA,1034,1601,1534,1461,85,1,2,4.85203026391962,57.5,1,1,2780015,54,2167,30,2251
"208","Alistipes indistinctus","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Rikenellaceae","Bacteroidales","Bacteroidia","Bacteroidota","Bacteria","626932.0",NA,"negative","37.0","Alistipes","anaerobe",NA,313.333333333333,1272.33333333333,136.333333333333,897,589.666666666667,1,2,0,54.5,1.5,1.5,2976515,52.5,2361.5,22,2436
"209","Alistipes onderdonkii","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Rikenellaceae","Bacteroidales","Bacteroidia","Bacteroidota","Bacteria",NA,NA,NA,NA,"Alistipes","anaerobe",NA,1,1,1,1,1,1,2,0.831776616671936,57.6,1,1,3562913.6,55.4,2893,42,2990.4
"210","Alistipes senegalensis","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Rikenellaceae","Bacteroidales","Bacteroidia","Bacteroidota","Bacteria","1033732.0",NA,NA,"37.0","Alistipes","anaerobe",NA,1055,68,1180,1888,865,1,2,0,58,1,1,4023245.5,59,3135,39.5,3233.5
"211","Alistipes shahii","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Rikenellaceae","Bacteroidales","Bacteroidia","Bacteroidota","Bacteria","328814.0","no","negative","37.0","Alistipes","anaerobe",NA,494.5,1036,131,1079,581,1,2,2.77258872223978,57,1,1,3809618,57,3119,59,3235
"212","Alkalibacter rhizosphaerae","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Eubacteriaceae","Eubacteriales","Clostridia","Bacillota","Bacteria","2815577.0",NA,NA,NA,"Alkalibacter",NA,NA,1,1,1,1,1,1,4,1.12467028923762,46.5,1,1,2449552,68,2338,45,2451
"213","Alkalicella caledoniensis","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Proteinivoracaceae","Eubacteriales","Clostridia","Bacillota","Bacteria","2731377.0",NA,NA,NA,"Alkalicella",NA,NA,242,778,1180,1794,487,1,9,1.75707658980137,36,1,1,3695371,94,3497,29,3620
"214","Alkalihalophilus pseudofirmus","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Bacillaceae","Caryophanales","Bacilli","Bacillota","Bacteria","398511.0",NA,NA,"30.0","Alkalihalophilus",NA,NA,129.333333333333,307.555555555556,7.22222222222222,33.8888888888889,59.7777777777778,1,7,1.64046527315364,39.5,3,3,4249248,105,4135,57,4297
"215","Alkalilimnicola ehrlichii","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Ectothiorhodospiraceae","Chromatiales","Gammaproteobacteria","Pseudomonadota","Bacteria","187272.0","yes","negative","30.0","Alkalilimnicola","facultative anaerobe","alkaliphile",1465,2712,650,708,470,1,2,0.693147180559945,67.5,1,1,3275944,58,2888,17,2963
"216","Alkalimarinus sediminis","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Alteromonadaceae","Alteromonadales","Gammaproteobacteria","Pseudomonadota","Bacteria","1632866.0",NA,NA,NA,"Alkalimarinus",NA,NA,1,1998,1114,928,85,1,5,1.17341409054744,44,1,1,4226946,72,3640,30,3742
"217","Alkaliphilus oremlandii","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Clostridiaceae","Eubacteriales","Clostridia","Bacillota","Bacteria","350688.0",NA,NA,NA,"Alkaliphilus","anaerobe",NA,1,2943,1611,1678,502,1,8,0.376770161256437,36,1,1,3123558,117,2924,29,3070
"218","Alkalitalea saponilacus","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Marinilabiliaceae","Bacteroidales","Bacteroidia","Bacteroidota","Bacteria","889453.0","yes","positive","35.5","Alkalitalea","anaerobe","alkaliphile",379,1195,801,1736,50,1,4,11.9398500729361,39,1,1,4775573,63,3558,15,3636
"219","Alloacidobacterium dinghuense","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Acidobacteriaceae","Acidobacteriales","Acidobacteriia","Acidobacteriota","Bacteria","2763107.0",NA,NA,NA,"Alloacidobacterium",NA,NA,1,1,1,1,1,1,1,0,55.5,1,1,6271114,57,5167,43,5267
"220","Allochromatium vinosum","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Chromatiaceae","Chromatiales","Gammaproteobacteria","Pseudomonadota","Bacteria","572477.0",NA,NA,NA,"Allochromatium","anaerobe",NA,994.375,1102.75,568.375,519.25,1.75,1,3,0.636514168294813,64,3,3,3669074,64,3245,39,3348
"221","Allofrancisella frigidaquae","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Francisellaceae","Thiotrichales","Gammaproteobacteria","Pseudomonadota","Bacteria","1085644.0",NA,NA,"31.0","Allofrancisella",NA,NA,66,1384,3,667,1,1,3,1.90954250488444,32,1,1,1674180,52,1488,28,1568
"222","Allofrancisella guangzhouensis","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Francisellaceae","Thiotrichales","Gammaproteobacteria","Pseudomonadota","Bacteria","594679.0","no","negative","33.5","Allofrancisella","anaerobe",NA,115,790,401,316,1,1,3,0,31.5,2,2,1661527,52,1495,20,1567
"223","Allofrancisella inopinata","R","NR","NR","NR","NR","R","NR","NR","R","NR","NR","NR","NR","NR","R","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","R","NR","NR","NR","R","NR","NR","NR","NR","NR","R","NR","NR","NR","NR","NR","NR","Francisellaceae","Thiotrichales","Gammaproteobacteria","Pseudomonadota","Bacteria","1085647.0","no","negative","31.0","Allofrancisella","aerobe",NA,116,1384,3,667,1,1,3,1.90954250488444,31.5,1,1,1750491,51,1554,22,1627
