"","species","antibiotics","lincomycin","novobiocin","kanamycin","ampicillin","gentamicin","neomycin","streptomycin","chloramphenicol","rifampicin","polymyxin.b","erythromycin","bacitracin","penicillin","tetracycline","aztreonam","cefalotin","cefazolin","cefotaxime","fosfomycin","imipenem","linezolid","mezlocillin","moxifloxacin","nitrofurantoin","norfloxacin","nystatin","ofloxacin","oxacillin","penicillin.g","pipemidic.acid","ticarcillin","tunicamycin","actinomycin.d","sodium.dodecyl.sulfate","vancomycin","sodium.chloride","colistin","carbenicillin","ceftriaxone","clarithromycin","cefotaxime.sodium","tobramycin","spectinomycin","amikacin","nalidixic.acid","cycloheximide","trimethoprim","sulfamethoxazole","minocycline","cephradine","cephalexin","cefuroxime","cefoperazone","ceftazidime","oleandomycin","cephalothin","acetylspiramycin","ciprofloxacin","oxytetracycline","furazolidone","midecamycin","doxycycline","piperacillin","clindamycin","enrofloxacin","cefixime","meropenem","levofloxacin","amoxicillin","clavulanic.acid","cefoxitin","cefepime","co.trimoxazole","spiramycin.II","family","order","class","phylum","domain","NCBI.tax.ID","motility","gram.stain","growth","genus","oxygen.tolerance","PH.range","GC.content","Total.samples","soil.counts","aquatic.counts","plant.counts","optimum","n16","div","gc_percent","genome_components","chromosomes","total_seq_length","genes_nc","genes_coding","pseudogenes","total_genes"
"2574","Pedobacter steynii","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Sphingobacteriaceae","Sphingobacteriales","Sphingobacteriia","Bacteroidota","Bacteria","430522.0","yes","negative","25.333333333333332","Pedobacter",NA,NA,1,1285,1338,1322,546,1,4,0,41,1,1,6581659,82,5389,7,5478
"2575","Pelagerythrobacter marensis","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Erythrobacteraceae","Sphingomonadales","Alphaproteobacteria","Pseudomonadota","Bacteria","543877.0","yes","negative","27.714285714285715","Pelagerythrobacter","aerobe","alkaliphile",1245,2894,401,1115,487,1,1,0,64.5,1,1,2885033,52,2696,16,2764
"2576","Pelagibacterium halotolerans","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Devosiaceae","Hyphomicrobiales","Alphaproteobacteria","Pseudomonadota","Bacteria","1082931.0",NA,NA,"29.0","Pelagibacterium",NA,NA,1091,3142,401,1093,487,1,2.5,0.95477125244222,61,1.5,1.5,3955592.5,59.5,3773,43,3875.5
"2577","Pelagovum pacificum","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Rhodobacteraceae","Rhodobacterales","Alphaproteobacteria","Pseudomonadota","Bacteria","2588711.0",NA,NA,NA,"Pelagovum",NA,NA,1,1,1,1,1,1,2,0,66,3,3,4091934,56,3958,17,4031
"2578","Pelistega ratti","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Alcaligenaceae","Burkholderiales","Betaproteobacteria","Pseudomonadota","Bacteria","2652177.0",NA,NA,NA,"Pelistega",NA,NA,285,1,1,1,1,1,3,0,37,1,1,2326689,57,1964,23,2044
"2579","Pelobacter propionicus","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Desulfuromonadaceae","Desulfuromonadales","Deltaproteobacteria","Pseudomonadota","Bacteria","338966.0",NA,NA,NA,"Pelobacter","anaerobe",NA,1017,1,1,1,1,1,4,0,58,3,3,4241119,69,3833,25,3927
"2580","Pelodictyon phaeoclathratiforme","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Chlorobiaceae","Chlorobiales","Chlorobiia","Chlorobiota","Bacteria",NA,NA,NA,NA,"Pelodictyon",NA,NA,1,1,1,1,1,1,3,0.636514168294813,48,1,1,3018238,61,2787,56,2904
"2581","Pelolinea submarina","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Anaerolineaceae","Anaerolineales","Anaerolineae","Chloroflexota","Bacteria","913107.0","no","negative","25.0","Pelolinea","anaerobe",NA,856,3236,1544,1585,163,1,1,0,50.5,1,1,3519887,55,3070,9,3134
"2582","Pelosinus fermentans","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Sporomusaceae","Selenomonadales","Negativicutes","Bacillota","Bacteria","1122947.0",NA,NA,"25.0","Pelosinus","anaerobe",NA,442,1340,143,1528,287,1,9,78.0003124211734,39.5,1,1,5380816,111,4737,29,4877
"2583","Pengzhenrongella sicca","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","Micrococcales, not assigned to family","Micrococcales","Actinomycetes","Actinomycetota","Bacteria","2819238.0",NA,NA,NA,"Pengzhenrongella",NA,NA,1,1232,261,1495,3,1,3,1.27302833658963,72,1,1,4395128,57,3918,49,4024
