GENUS,PHYLUM,ORDER
Aquella,Pseudomonadota,Neisseriales
Chitinolyticbacter,Pseudomonadota,Neisseriales
Conchiformibius,Pseudomonadota,Neisseriales
Eikenella,Pseudomonadota,Neisseriales
Kingella,Pseudomonadota,Neisseriales
Morococcus,Pseudomonadota,Neisseriales
Neisseria,Pseudomonadota,Neisseriales
Paralysiella,Pseudomonadota,Neisseriales
Simonsiella,Pseudomonadota,Neisseriales
Snodgrassella,Pseudomonadota,Neisseriales
Uruburuella,Pseudomonadota,Neisseriales
Vitreoscilla,Pseudomonadota,Neisseriales
Wielerella,Pseudomonadota,Neisseriales
Ferrigenium,Pseudomonadota,Nitrosomonadales
Ferriphaselus,Pseudomonadota,Nitrosomonadales
Gallionella,Pseudomonadota,Nitrosomonadales
Sideroxyarcus,Pseudomonadota,Nitrosomonadales
Sideroxydans,Pseudomonadota,Nitrosomonadales
Methylobacillus,Pseudomonadota,Nitrosomonadales
Methylophilus,Pseudomonadota,Nitrosomonadales
Methyloradius,Pseudomonadota,Nitrosomonadales
Methylotenera,Pseudomonadota,Nitrosomonadales
Methylovorus,Pseudomonadota,Nitrosomonadales
Nitrosomonas,Pseudomonadota,Nitrosomonadales
Nitrosospira,Pseudomonadota,Nitrosomonadales
Denitratisoma,Pseudomonadota,Nitrosomonadales
Methyloversatilis,Pseudomonadota,Nitrosomonadales
Sulfuritalea,Pseudomonadota,Nitrosomonadales
Sulfuricella,Pseudomonadota,Nitrosomonadales
Sulfuriferula,Pseudomonadota,Nitrosomonadales
Sulfurimicrobium,Pseudomonadota,Nitrosomonadales
Sulfuritortus,Pseudomonadota,Nitrosomonadales
Thiobacillus,Pseudomonadota,Nitrosomonadales
Usitatibacter,Pseudomonadota,Nitrosomonadales
Dechloromonas,Pseudomonadota,Rhodocyclales
Ferribacterium,Pseudomonadota,Rhodocyclales
Quatrionicoccus,Pseudomonadota,Rhodocyclales
Fluviibacter,Pseudomonadota,Rhodocyclales
Aromatoleum,Pseudomonadota,Rhodocyclales
Azospira,Pseudomonadota,Rhodocyclales
Niveibacterium,Pseudomonadota,Rhodocyclales
Oryzomicrobium,Pseudomonadota,Rhodocyclales
Rugosibacter,Pseudomonadota,Rhodocyclales
Azoarcus,Pseudomonadota,Rhodocyclales
Nitrogeniibacter,Pseudomonadota,Rhodocyclales
Parazoarcus,,
Pseudazoarcus,,
Pseudothauera,,
Thauera,Pseudomonadota,Rhodocyclales
Bradymonas,Pseudomonadota,Bradymonadales
Persicimonas,Pseudomonadota,Bradymonadales
Microvenator,Pseudomonadota,Bradymonadales
Dissulfurimicrobium,Pseudomonadota,Dissulfurimicrobium
Desulfarculus,Pseudomonadota,Desulfarculales
Desulfatibacillum,Pseudomonadota,Desulfobacterales
Desulfobacula,Pseudomonadota,Desulfobacterales
Desulfococcus,Pseudomonadota,Desulfobacterales
Desulfoluna,Pseudomonadota,Desulfobacterales
Desulfonema,Pseudomonadota,Desulfobacterales
Desulforapulum,Pseudomonadota,Desulfobacterales
Desulfosarcina,Pseudomonadota,Desulfobacterales
Desulfobulbus,Pseudomonadota,Desulfobacterales
Desulfolithobacter,Pseudomonadota,Desulfobacterales
Desulfomarina,Pseudomonadota,Desulfobacterales
Desulfurivibrio,Pseudomonadota,Desulfobacterales
Desulfocapsa,Pseudomonadota,Desulfobacterales
Desulfosediminicola,Pseudomonadota,Desulfobacterales
Desulfotalea,Pseudomonadota,Desulfobacterales
Desulfosudis,Pseudomonadota,Desulfobacterales
Desulfohalobium,Pseudomonadota,Desulfovibrionales
Desulfomicrobium,Pseudomonadota,Desulfovibrionales
Desulfocurvibacter,Pseudomonadota,Desulfovibrionales
Desulfolutivibrio,Pseudomonadota,Desulfovibrionales
Desulfovibrio,Pseudomonadota,Desulfovibrionales
Lawsonia,Pseudomonadota,Desulfovibrionales
Maridesulfovibrio,Pseudomonadota,Desulfovibrionales
Oceanidesulfovibrio,Pseudomonadota,Desulfovibrionales
Oleidesulfovibrio,Pseudomonadota,Desulfovibrionales
Pseudodesulfovibrio,Pseudomonadota,Desulfovibrionales
Psychrodesulfovibrio,Pseudomonadota,Desulfovibrionales
Salidesulfovibrio,Pseudomonadota,Desulfovibrionales
Solidesulfovibrio,Pseudomonadota,Desulfovibrionales
Hippea,Pseudomonadota,Desulfurellales
Desulfuromonas,Pseudomonadota,Desulfuromonadales
Pelobacter,Pseudomonadota,Desulfuromonadales
Citrifermentans,Pseudomonadota,Desulfuromonadales
Geoalkalibacter,Pseudomonadota,Desulfuromonadales
Geobacter,Pseudomonadota,Desulfuromonadales
Geomonas,Pseudomonadota,Desulfuromonadales
Geotalea,Pseudomonadota,Desulfuromonadales
Trichlorobacter,Pseudomonadota,Desulfuromonadales
Syntrophotalea,Pseudomonadota,Desulfuromonadales
Anaeromyxobacter,Pseudomonadota,Myxococcales
Archangium,Pseudomonadota,Myxococcales
Cystobacter,Pseudomonadota,Myxococcales
Melittangium,Pseudomonadota,Myxococcales
Stigmatella,Pseudomonadota,Myxococcales
Corallococcus,Pseudomonadota,Myxococcales
Myxococcus,Pseudomonadota,Myxococcales
Vulgatibacter,Pseudomonadota,Myxococcales
Haliangium,Pseudomonadota,Myxococcales
Nannocystis,Pseudomonadota,Myxococcales
Labilithrix,Pseudomonadota,Myxococcales
Chondromyces,Pseudomonadota,Myxococcales
Polyangium,Pseudomonadota,Myxococcales
Sorangium,Pseudomonadota,Myxococcales
Sandaracinus,Pseudomonadota,Myxococcales
Desulfobacca,Pseudomonadota,Syntrophales
Desulfomonile,Pseudomonadota,Syntrophales
Syntrophus,Pseudomonadota,Syntrophales
Desulfoglaeba,Pseudomonadota,Syntrophobacterales
Syntrophobacter,Pseudomonadota,Syntrophobacterales
Aliarcobacter,Pseudomonadota,Campylobacterales
Arcobacter,Pseudomonadota,Campylobacterales
Halarcobacter,Pseudomonadota,Campylobacterales
Malaciobacter,Pseudomonadota,Campylobacterales
Poseidonibacter,Pseudomonadota,Campylobacterales
Campylobacter,Pseudomonadota,Campylobacterales
Helicobacter,Pseudomonadota,Campylobacterales
Wolinella,Pseudomonadota,Campylobacterales
Hydrogenimonas,Pseudomonadota,Campylobacterales
Sulfurospirillum,Pseudomonadota,Campylobacterales
Nitratifractor,Pseudomonadota,Campylobacterales
Sulfurovum,Pseudomonadota,Campylobacterales
Sulfuricurvum,Pseudomonadota,Campylobacterales
Sulfurimonas,Pseudomonadota,Campylobacterales
Caminibacter,Pseudomonadota,Nautiliales
Nautilia,Pseudomonadota,Nautiliales
Nitratiruptor,Pseudomonadota,Nautiliales
Nitrosophilus,Pseudomonadota,Nautiliales
Acidiferrobacter,Pseudomonadota,Acidiferrobacterales
Sulfuricaulis,Pseudomonadota,Acidiferrobacterales
Sulfurifustis,Pseudomonadota,Acidiferrobacterales
Aeromonas,Pseudomonadota,Aeromonadales
Dongshaea,Pseudomonadota,Aeromonadales
Oceanimonas,Pseudomonadota,Aeromonadales
Oceanisphaera,Pseudomonadota,Aeromonadales
Tolumonas,Pseudomonadota,Aeromonadales
Zobellella,Pseudomonadota,Aeromonadales
Succinivibrio,Pseudomonadota,Aeromonadales
Agarivorans,Pseudomonadota,Alteromonadales
Alkalimarinus,Pseudomonadota,Alteromonadales
Alteromonas,Pseudomonadota,Alteromonadales
Salinimonas,Pseudomonadota,Alteromonadales
Catenovulum,Pseudomonadota,Alteromonadales
Glaciecola,Pseudomonadota,Alteromonadales
Hydrocarboniclastica,Pseudomonadota,Alteromonadales
Lacimicrobium,Pseudomonadota,Alteromonadales
Paraglaciecola,Pseudomonadota,Alteromonadales
Paraneptunicella,Pseudomonadota,Alteromonadales
Saccharobesus,Pseudomonadota,Alteromonadales
Saliniradius,Pseudomonadota,Alteromonadales
Cognaticolwellia,Pseudomonadota,Alteromonadales
Colwellia,Pseudomonadota,Alteromonadales
Litorilituus,Pseudomonadota,Alteromonadales
Thalassotalea,Pseudomonadota,Alteromonadales
Ferrimonas,Pseudomonadota,Alteromonadales
Idiomarina,Pseudomonadota,Alteromonadales
Moritella,Pseudomonadota,Alteromonadales
Flocculibacter,Pseudomonadota,Alteromonadales
Pseudoalteromonas,Pseudomonadota,Alteromonadales
Psychrosphaera,Pseudomonadota,Alteromonadales
Psychromonas,Pseudomonadota,Alteromonadales
Parashewanella,Pseudomonadota,Alteromonadales
Shewanella,Pseudomonadota,Alteromonadales
Cardiobacterium,Pseudomonadota,Cardiobacteriales
Dichelobacter,Pseudomonadota,Cardiobacteriales
Suttonella,Pseudomonadota,Cardiobacteriales
Ignatzschineria,Pseudomonadota,Cardiobacteriales
Agarilytica,Pseudomonadota,Cellvibrionales
Cellvibrio,Pseudomonadota,Cellvibrionales
Gilvimarinus,Pseudomonadota,Cellvibrionales
Marinagarivorans,Pseudomonadota,Cellvibrionales
Marinimicrobium,Pseudomonadota,Cellvibrionales
Saccharophagus,Pseudomonadota,Cellvibrionales
Simiduia,Pseudomonadota,Cellvibrionales
Teredinibacter,Pseudomonadota,Cellvibrionales
Aequoribacter,Pseudomonadota,Cellvibrionales
Halioglobus,Pseudomonadota,Cellvibrionales
Kineobactrum,Pseudomonadota,Cellvibrionales
Microbulbifer,Pseudomonadota,Cellvibrionales
Oceanicoccus,Pseudomonadota,Cellvibrionales
Spongiibacter,Pseudomonadota,Cellvibrionales
Zhongshania,Pseudomonadota,Cellvibrionales
Thiohalobacter,Pseudomonadota,Chromatiales
Granulosicoccus,Pseudomonadota,Chromatiales
Sulfuriflexus,Pseudomonadota,Chromatiales
Halothiobacillus,Pseudomonadota,Chromatiales
Acidihalobacter,Pseudomonadota,Chromatiales
Alkalilimnicola,Pseudomonadota,Chromatiales
Aquisalimonas,Pseudomonadota,Chromatiales
Ectothiorhodospira,Pseudomonadota,Chromatiales
Halorhodospira,Pseudomonadota,Chromatiales
Spiribacter,Pseudomonadota,Chromatiales
Thioalkalivibrio,Pseudomonadota,Chromatiales
Allochromatium,Pseudomonadota,Chromatiales
Caldichromatium,Pseudomonadota,Chromatiales
Marichromatium,Pseudomonadota,Chromatiales
Nitrosococcus,Pseudomonadota,Chromatiales
Rheinheimera,Pseudomonadota,Chromatiales
Thermochromatium,Pseudomonadota,Chromatiales
Thiocapsa,Pseudomonadota,Chromatiales
Thiocystis,Pseudomonadota,Chromatiales
Thioflavicoccus,Pseudomonadota,Chromatiales
Guyparkeria,Pseudomonadota,Chromatiales
Sulfurivermis,Pseudomonadota,Chromatiales
Wenzhouxiangella,Pseudomonadota,Chromatiales
Woeseia,Pseudomonadota,Chromatiales
Sodalis,Pseudomonadota,Enterobacterales
Jinshanibacter,Pseudomonadota,Enterobacterales
Leminorella,Pseudomonadota,Enterobacterales
Limnobaculum,Pseudomonadota,Enterobacterales
Pragia,Pseudomonadota,Enterobacterales
Atlantibacter,Pseudomonadota,Enterobacterales
Buttiauxella,Pseudomonadota,Enterobacterales
Plesiomonas,Pseudomonadota,Enterobacterales
Cedecea,Pseudomonadota,Enterobacterales
Citrobacter,Pseudomonadota,Enterobacterales
Cronobacter,Pseudomonadota,Enterobacterales
Enterobacter,Pseudomonadota,Enterobacterales
Symbiopectobacterium,Pseudomonadota,Enterobacterales
Escherichia,Pseudomonadota,Enterobacterales
Jejubacter,Pseudomonadota,Enterobacterales
Klebsiella,Pseudomonadota,Enterobacterales
Raoultella,Pseudomonadota,Enterobacterales
Kluyvera,Pseudomonadota,Enterobacterales
Kosakonia,Pseudomonadota,Enterobacterales
Leclercia,Pseudomonadota,Enterobacterales
Lelliottia,Pseudomonadota,Enterobacterales
Metakosakonia,Pseudomonadota,Enterobacterales
Phytobacter,Pseudomonadota,Enterobacterales
Pluralibacter,Pseudomonadota,Enterobacterales
Pseudocitrobacter,Pseudomonadota,Enterobacterales
Salmonella,Pseudomonadota,Enterobacterales
Scandinavium,Pseudomonadota,Enterobacterales
Shigella,Pseudomonadota,Enterobacterales
Shimwellia,Pseudomonadota,Enterobacterales
Siccibacter,Pseudomonadota,Enterobacterales
Yokenella,Pseudomonadota,Enterobacterales
Buchnera,Pseudomonadota,Enterobacterales
Erwinia,Pseudomonadota,Enterobacterales
Kalamiella,Pseudomonadota,Enterobacterales
Mixta,Pseudomonadota,Enterobacterales
Pantoea,Pseudomonadota,Enterobacterales
Tatumella,Pseudomonadota,Enterobacterales
Wigglesworthia,Pseudomonadota,Enterobacterales
Edwardsiella,Pseudomonadota,Enterobacterales
Hafnia,Pseudomonadota,Enterobacterales
Obesumbacterium,Pseudomonadota,Enterobacterales
Arsenophonus,Pseudomonadota,Enterobacterales
Moellerella,Pseudomonadota,Enterobacterales
Morganella,Pseudomonadota,Enterobacterales
Photorhabdus,Pseudomonadota,Enterobacterales
Proteus,Pseudomonadota,Enterobacterales
Providencia,Pseudomonadota,Enterobacterales
Xenorhabdus,Pseudomonadota,Enterobacterales
Brenneria,Pseudomonadota,Enterobacterales
Dickeya,Pseudomonadota,Enterobacterales
Lonsdalea,Pseudomonadota,Enterobacterales
Musicola,Pseudomonadota,Enterobacterales
Pectobacterium,Pseudomonadota,Enterobacterales
Chania,Pseudomonadota,Enterobacterales
Ewingella,Pseudomonadota,Enterobacterales
Gibbsiella,Pseudomonadota,Enterobacterales
Rahnella,Pseudomonadota,Enterobacterales
Rouxiella,Pseudomonadota,Enterobacterales
Serratia,Pseudomonadota,Enterobacterales
Yersinia,Pseudomonadota,Enterobacterales
Celerinatantimonas,Pseudomonadota,Celerinatantimonas
Gallaecimonas,Pseudomonadota,Gallaecimonas
Pseudohongiella,Pseudomonadota,Pseudohongiella
Sedimenticola,Pseudomonadota,Sedimenticola
Thiolapillus,Pseudomonadota,Thiolapillus
Immundisolibacter,Pseudomonadota,Immundisolibacterales
Kangiella,Pseudomonadota,Kangiellales
Aquicella,Pseudomonadota,Legionellales
Coxiella,Pseudomonadota,Legionellales
Rickettsiella,Pseudomonadota,Legionellales
Legionella,Pseudomonadota,Legionellales
Tatlockia,Pseudomonadota,Legionellales
Methylobacter,Pseudomonadota,Methylococcales
Methylocaldum,Pseudomonadota,Methylococcales
Methylococcus,Pseudomonadota,Methylococcales
Methylogaea,Pseudomonadota,Methylococcales
Methylomagnum,Pseudomonadota,Methylococcales
Methylomicrobium,Pseudomonadota,Methylococcales
Methylomonas,Pseudomonadota,Methylococcales
Methylotuvimicrobium,Pseudomonadota,Methylococcales
Methylovulum,Pseudomonadota,Methylococcales
Acinetobacter,Pseudomonadota,Moraxellales
Aquirhabdus,Pseudomonadota,Moraxellales
Moraxella,Pseudomonadota,Moraxellales
Psychrobacter,Pseudomonadota,Moraxellales
Flagellatimonas,Pseudomonadota,Nevskiales
Sinimarinibacterium,Pseudomonadota,Nevskiales
Solimonas,Pseudomonadota,Nevskiales
Steroidobacter,Pseudomonadota,Nevskiales
Alcanivorax,Pseudomonadota,Oceanospirillales
Alloalcanivorax,,
Isoalcanivorax,,
Ketobacter,Pseudomonadota,Oceanospirillales
Endozoicomonas,Pseudomonadota,Oceanospirillales
Hahella,Pseudomonadota,Oceanospirillales
Chromohalobacter,Pseudomonadota,Oceanospirillales
Cobetia,Pseudomonadota,Oceanospirillales
Halomonas,Pseudomonadota,Oceanospirillales
Halotalea,Pseudomonadota,Oceanospirillales
Kushneria,Pseudomonadota,Oceanospirillales
Pistricoccus,Pseudomonadota,Oceanospirillales
Salinicola,Pseudomonadota,Oceanospirillales
Zymobacter,Pseudomonadota,Oceanospirillales
Litorivicinus,,
Aliamphritea,,
Amphritea,Pseudomonadota,Oceanospirillales
Bacterioplanes,Pseudomonadota,Oceanospirillales
Bacterioplanoides,Pseudomonadota,Oceanospirillales
Bermanella,Pseudomonadota,Oceanospirillales
Marinobacterium,Pseudomonadota,Oceanospirillales
Marinomonas,Pseudomonadota,Oceanospirillales
Neptunomonas,Pseudomonadota,Oceanospirillales
Nitrincola,Pseudomonadota,Oceanospirillales
Thalassolituus,Pseudomonadota,Oceanospirillales
Venatorbacter,Pseudomonadota,Oceanospirillales
Oleiphilus,Pseudomonadota,Oceanospirillales
Gynuella,Pseudomonadota,Oceanospirillales
Reinekea,Pseudomonadota,Oceanospirillales
Saccharospirillum,Pseudomonadota,Oceanospirillales
Spartinivicinus,Pseudomonadota,Oceanospirillales
Frischella,Pseudomonadota,Orbales
Gilliamella,Pseudomonadota,Orbales
Zophobihabitans,Pseudomonadota,Orbales
Actinobacillus,Pseudomonadota,Pasteurellales
Aggregatibacter,Pseudomonadota,Pasteurellales
Avibacterium,Pseudomonadota,Pasteurellales
Basfia,Pseudomonadota,Pasteurellales
Bibersteinia,Pseudomonadota,Pasteurellales
Bisgaardia,Pseudomonadota,Pasteurellales
Frederiksenia,Pseudomonadota,Pasteurellales
Gallibacterium,Pseudomonadota,Pasteurellales
Glaesserella,Pseudomonadota,Pasteurellales
Haemophilus,Pseudomonadota,Pasteurellales
Histophilus,Pseudomonadota,Pasteurellales
Mannheimia,Pseudomonadota,Pasteurellales
Mergibacter,Pseudomonadota,Pasteurellales
Otariodibacter,Pseudomonadota,Pasteurellales
Pasteurella,Pseudomonadota,Pasteurellales
Rodentibacter,Pseudomonadota,Pasteurellales
Marinobacter,Pseudomonadota,Pseudomonadales
Azotobacter,Pseudomonadota,Pseudomonadales
Denitrificimonas,Pseudomonadota,Pseudomonadales
Entomomonas,Pseudomonadota,Pseudomonadales
Halopseudomonas,Pseudomonadota,Pseudomonadales
Permianibacter,Pseudomonadota,Pseudomonadales
Pseudomonas,Pseudomonadota,Pseudomonadales
Stutzerimonas,Pseudomonadota,Pseudomonadales
Thiopseudomonas,Pseudomonadota,Pseudomonadales
Salinisphaera,Pseudomonadota,Salinisphaerales
Allofrancisella,Pseudomonadota,Thiotrichales
Francisella,Pseudomonadota,Thiotrichales
Cycloclasticus,Pseudomonadota,Thiotrichales
Hydrogenovibrio,Pseudomonadota,Thiotrichales
Methylophaga,Pseudomonadota,Thiotrichales
Piscirickettsia,Pseudomonadota,Thiotrichales
Thiomicrorhabdus,Pseudomonadota,Thiotrichales
Thiomicrospira,Pseudomonadota,Thiotrichales
Thiosulfatimonas,Pseudomonadota,Thiotrichales
Thiosulfativibrio,Pseudomonadota,Thiotrichales
Beggiatoa,Pseudomonadota,Thiotrichales
Thiothrix,Pseudomonadota,Thiotrichales
Aliivibrio,Pseudomonadota,Vibrionales
Grimontia,Pseudomonadota,Vibrionales
Paraphotobacterium,Pseudomonadota,Vibrionales
Photobacterium,Pseudomonadota,Vibrionales
Salinivibrio,Pseudomonadota,Vibrionales
Thaumasiovibrio,Pseudomonadota,Vibrionales
Vibrio,Pseudomonadota,Vibrionales
Aerosticca,Pseudomonadota,Xanthomonadales
Ahniella,Pseudomonadota,Xanthomonadales
Dokdonella,Pseudomonadota,Xanthomonadales
Dyella,Pseudomonadota,Xanthomonadales
Frateuria,Pseudomonadota,Xanthomonadales
Luteibacter,Pseudomonadota,Xanthomonadales
Rhodanobacter,Pseudomonadota,Xanthomonadales
Luteimonas,Pseudomonadota,Xanthomonadales
Lysobacter,Pseudomonadota,Xanthomonadales
Pseudolysobacter,Pseudomonadota,Xanthomonadales
Pseudoxanthomonas,Pseudomonadota,Xanthomonadales
Stenotrophomonas,Pseudomonadota,Xanthomonadales
Thermomonas,Pseudomonadota,Xanthomonadales
Xanthomonas,Pseudomonadota,Xanthomonadales
Xylella,Pseudomonadota,Xanthomonadales
Hydrogenophilus,Pseudomonadota,Hydrogenophilales
Bacteriovorax,Pseudomonadota,Bacteriovoracales
Halobacteriovorax,Pseudomonadota,Bacteriovoracales
Bdellovibrio,Pseudomonadota,Bdellovibrionales
Micavibrio,Pseudomonadota,Bdellovibrionales
Pseudobdellovibrio,Pseudomonadota,Bdellovibrionales
Mariprofundus,Pseudomonadota,Mariprofundales
Chlamydia,Chlamydiae,Chlamydiales
Chlamydiifrater,Chlamydiae,Chlamydiales
Neochlamydia,Chlamydiae,Parachlamydiales
Parachlamydia,Chlamydiae,Parachlamydiales
Simkania,Chlamydiae,Parachlamydiales
Waddlia,Chlamydiae,Parachlamydiales
Mucisphaera,Planctomycetota,Phycisphaerales
Phycisphaera,Planctomycetota,Phycisphaerales
Poriferisphaera,Planctomycetota,Phycisphaerales
Anaerohalosphaera,Planctomycetota,Sedimentisphaerales
Limihaloglobus,Planctomycetota,Sedimentisphaerales
Sedimentisphaera,Planctomycetota,Sedimentisphaerales
Humisphaera,Planctomycetota,Tepidisphaerales
Frigoriglobus,Planctomycetota,Gemmatales
Gemmata,Planctomycetota,Gemmatales
Limnoglobus,Planctomycetota,Gemmatales
Telmatocola,Planctomycetota,Gemmatales
Tuwongella,Planctomycetota,Gemmatales
Urbifossiella,Planctomycetota,Gemmatales
Aquisphaera,Planctomycetota,Isosphaerales
Isosphaera,Planctomycetota,Isosphaerales
Paludisphaera,Planctomycetota,Isosphaerales
Singulisphaera,Planctomycetota,Isosphaerales
Adhaeretor,Planctomycetota,Pirellulales
Aeoliella,Planctomycetota,Pirellulales
Lacipirellula,Planctomycetota,Pirellulales
Pirellulimonas,Planctomycetota,Pirellulales
Anatilimnocola,Planctomycetota,Pirellulales
Aureliella,Planctomycetota,Pirellulales
Bremerella,Planctomycetota,Pirellulales
Lignipirellula,Planctomycetota,Pirellulales
Mariniblastus,Planctomycetota,Pirellulales
Pirellula,Planctomycetota,Pirellulales
Rhodopirellula,Planctomycetota,Pirellulales
Roseimaritima,Planctomycetota,Pirellulales
Rosistilla,Planctomycetota,Pirellulales
Rubripirellula,Planctomycetota,Pirellulales
Thermogutta,Planctomycetota,Pirellulales
Fuerstiella,Planctomycetota,Planctomycetales
Gimesia,Planctomycetota,Planctomycetales
Maioricimonas,Planctomycetota,Planctomycetales
Planctomyces,Planctomycetota,Planctomycetales
Planctopirus,Planctomycetota,Planctomycetales
Polystyrenella,Planctomycetota,Planctomycetales
Rubinisphaera,Planctomycetota,Planctomycetales
Symmachiella,Planctomycetota,Planctomycetales
Methylacidiphilum,Verrucomicrobia,Methylacidiphilales
Horticoccus,Verrucomicrobia,Opitutales
Lacunisphaera,Verrucomicrobia,Opitutales
Nibricoccus,Verrucomicrobia,Opitutales
Opitutus,Verrucomicrobia,Opitutales
Coraliomargarita,Verrucomicrobia,Puniceicoccales
Ruficoccus,Verrucomicrobia,Puniceicoccales
Methylacidimicrobium,Verrucomicrobia,Methylacidimicrobium
Akkermansia,Verrucomicrobia,Verrucomicrobiales
Luteolibacter,Verrucomicrobia,Verrucomicrobiales
Roseimicrobium,Verrucomicrobia,Verrucomicrobiales
Sulfuriroseicoccus,Verrucomicrobia,Verrucomicrobiales
Kiritimatiella,Kiritimatiellaeota,Kiritimatiellales
Tichowtungia,Kiritimatiellaeota,Tichowtungiales
Brachyspira,Spirochaetes,Brachyspirales
Thermospira,,
Leptospira,Spirochaetes,Leptospirales
Turneriella,Spirochaetes,Leptospirales
Borrelia,Spirochaetes,Spirochaetales
Borreliella,Spirochaetes,Spirochaetales
Breznakiella,Spirochaetes,Spirochaetales
Gracilinema,Spirochaetes,Spirochaetales
Leadbettera,Spirochaetes,Spirochaetales
Sphaerochaeta,Spirochaetes,Spirochaetales
Oceanispirochaeta,Spirochaetes,Spirochaetales
Salinispira,Spirochaetes,Spirochaetales
Sediminispirochaeta,Spirochaetes,Spirochaetales
Spirochaeta,Spirochaetes,Spirochaetales
Thiospirochaeta,Spirochaetes,Spirochaetales
Brucepastera,Spirochaetes,Spirochaetales
Treponema,Spirochaetes,Spirochaetales
Acetomicrobium,Synergistetes,Synergistales
Cloacibacillus,Synergistetes,Synergistales
Pyramidobacter,Synergistetes,Synergistales
Thermanaerovibrio,Synergistetes,Synergistales
Thermovirga,Synergistetes,Synergistales
Acidimicrobium,Actinomycetota,Acidimicrobiales
Actinomarinicola,Actinomycetota,Acidimicrobiales
Aquihabitans,Actinomycetota,Acidimicrobiales
Iamia,Actinomycetota,Acidimicrobiales
Ilumatobacter,Actinomycetota,Acidimicrobiales
Atopobium,Actinomycetota,Coriobacteriales
Lancefieldella,Actinomycetota,Coriobacteriales
Leptogranulimonas,Actinomycetota,Coriobacteriales
Olsenella,Actinomycetota,Coriobacteriales
Parolsenella,Actinomycetota,Coriobacteriales
Thermophilibacter,Actinomycetota,Coriobacteriales
Collinsella,Actinomycetota,Coriobacteriales
Coriobacterium,Actinomycetota,Coriobacteriales
Adlercreutzia,Actinomycetota,Eggerthellales
Berryella,Actinomycetota,Eggerthellales
Cryptobacterium,Actinomycetota,Eggerthellales
Eggerthella,Actinomycetota,Eggerthellales
Gordonibacter,Actinomycetota,Eggerthellales
Phoenicibacter,Actinomycetota,Eggerthellales
Raoultibacter,Actinomycetota,Eggerthellales
Slackia,Actinomycetota,Eggerthellales
Xiamenia,Actinomycetota,Eggerthellales
Actinobaculum,Actinomycetota,Actinomycetales
Actinomyces,Actinomycetota,Actinomycetales
Actinotignum,Actinomycetota,Actinomycetales
Arcanobacterium,Actinomycetota,Actinomycetales
Boudabousia,Actinomycetota,Actinomycetales
Changpingibacter,Actinomycetota,Actinomycetales
Fannyhessea,Actinomycetota,Actinomycetales
Flaviflexus,Actinomycetota,Actinomycetales
Mobiluncus,Actinomycetota,Actinomycetales
Nanchangia,Actinomycetota,Actinomycetales
Schaalia,Actinomycetota,Actinomycetales
Trueperella,Actinomycetota,Actinomycetales
Actinopolyspora,Actinomycetota,Actinopolysporales
Bifidobacterium,Actinomycetota,Bifidobacteriales
Gardnerella,Actinomycetota,Bifidobacteriales
Parascardovia,Actinomycetota,Bifidobacteriales
Scardovia,Actinomycetota,Bifidobacteriales
Catenulispora,Actinomycetota,Catenulisporales
Tomitella,Actinomycetota,Corynebacteriales
Corynebacterium,Actinomycetota,Corynebacteriales
Dietzia,Actinomycetota,Corynebacteriales
Gordonia,Actinomycetota,Corynebacteriales
Skermania,Actinomycetota,Corynebacteriales
Lawsonella,Actinomycetota,Corynebacteriales
Hoyosella,Actinomycetota,Corynebacteriales
Mycobacterium,Actinomycetota,Corynebacteriales
Mycobacteroides,Actinomycetota,Corynebacteriales
Mycolicibacillus,Actinomycetota,Corynebacteriales
Mycolicibacter,Actinomycetota,Corynebacteriales
Nocardia,Actinomycetota,Corynebacteriales
Prescottella,Actinomycetota,Corynebacteriales
Rhodococcus,Actinomycetota,Corynebacteriales
Segniliparus,Actinomycetota,Corynebacteriales
Tsukamurella,Actinomycetota,Corynebacteriales
Frankia,Actinomycetota,Frankiales
Blastococcus,Actinomycetota,Geodermatophilales
Geodermatophilus,Actinomycetota,Geodermatophilales
Modestobacter,Actinomycetota,Geodermatophilales
Natronoglycomyces,Actinomycetota,Glycomycetales
Stackebrandtia,Actinomycetota,Glycomycetales
Jatrophihabitans,Actinomycetota,Jatrophihabitantales
Kineococcus,Actinomycetota,Kineosporiales
Beutenbergia,Actinomycetota,Micrococcales
Miniimonas,Actinomycetota,Micrococcales
Georgenia,Actinomycetota,Micrococcales
Brevibacterium,Actinomycetota,Micrococcales
Actinotalea,Actinomycetota,Micrococcales
Cellulomonas,Actinomycetota,Micrococcales
Oerskovia,Actinomycetota,Micrococcales
Pseudactinotalea,Actinomycetota,Micrococcales
Demequina,Actinomycetota,Micrococcales
Brachybacterium,Actinomycetota,Micrococcales
Dermabacter,Actinomycetota,Micrococcales
Devriesea,Actinomycetota,Micrococcales
Allobranchiibius,Actinomycetota,Micrococcales
Dermacoccus,Actinomycetota,Micrococcales
Luteipulveratus,Actinomycetota,Micrococcales
Yimella,Actinomycetota,Micrococcales
Austwickia,Actinomycetota,Micrococcales
Dermatophilus,Actinomycetota,Micrococcales
Gephyromycinifex,Actinomycetota,Micrococcales
Arsenicicoccus,Actinomycetota,Micrococcales
Intrasporangium,Actinomycetota,Micrococcales
Janibacter,Actinomycetota,Micrococcales
Phycicoccus,Actinomycetota,Micrococcales
